rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout_status,rental_id_prev,car_id_prev,checkin_type_prev,state_prev,delay_at_checkout_in_minutes_prev,previous_ended_rental_id_prev,time_delta_with_previous_rental_in_minutes_prev,checkout_status_prev,delay_at_checkin_in_minutes,checkin_status
535611,397814,mobile,ended,68.0,535512.0,300.0,Late,535512.0,397814.0,mobile,ended,44.0,,,Late,-256.0,In time
535726,375944,connect,ended,38.0,,,Late,,,,,,,,,,
535738,398733,mobile,ended,-1.0,,,In time,,,,,,,,,,
535770,352436,mobile,ended,74.0,524703.0,60.0,Late,524703.0,352436.0,mobile,ended,7.0,538643.0,60.0,Late,-53.0,In time
535821,381583,mobile,ended,-10.0,,,In time,,,,,,,,,,
536108,337311,mobile,ended,-843.0,,,In time,,,,,,,,,,
536190,394560,mobile,canceled,,,,Unknown,,,,,,,,,,
536444,389785,connect,ended,-130.0,,,In time,,,,,,,,,,
536914,363387,mobile,canceled,,,,Unknown,,,,,,,,,,
536978,378931,mobile,ended,271.0,,,Late,,,,,,,,,,
536990,193354,mobile,ended,-12.0,,,In time,,,,,,,,,,
537060,223654,mobile,canceled,,,,Unknown,,,,,,,,,,
537069,403304,mobile,canceled,,,,Unknown,,,,,,,,,,
537277,342067,mobile,ended,-125.0,,,In time,,,,,,,,,,
537352,349280,mobile,ended,-96.0,,,In time,,,,,,,,,,
537381,338052,mobile,ended,205.0,,,Late,,,,,,,,,,
537464,300336,mobile,canceled,,,,Unknown,,,,,,,,,,
537576,397470,mobile,ended,18.0,539005.0,0.0,Late,539005.0,397470.0,mobile,ended,-29.0,,,In time,,
537627,390736,mobile,ended,48.0,,,Late,,,,,,,,,,
537677,389994,mobile,ended,266.0,,,Late,,,,,,,,,,
537705,404731,mobile,ended,36.0,,,Late,,,,,,,,,,
537803,390467,connect,canceled,,,,Unknown,,,,,,,,,,
537822,396544,mobile,ended,-35.0,,,In time,,,,,,,,,,
537923,313085,mobile,ended,80.0,,,Late,,,,,,,,,,
538105,243218,mobile,ended,-24.0,,,In time,,,,,,,,,,
538184,347242,mobile,ended,-129.0,,,In time,,,,,,,,,,
538194,380708,connect,ended,2.0,,,Late,,,,,,,,,,
538251,401964,mobile,ended,-37.0,,,In time,,,,,,,,,,
538328,409359,mobile,ended,8.0,,,Late,,,,,,,,,,
538437,408937,mobile,ended,-155.0,,,In time,,,,,,,,,,
538501,396281,mobile,ended,134.0,,,Late,,,,,,,,,,
538569,406984,mobile,ended,-15.0,,,In time,,,,,,,,,,
538660,297511,mobile,ended,13.0,,,Late,,,,,,,,,,
538678,351549,connect,ended,-348.0,,,In time,,,,,,,,,,
538852,311437,mobile,ended,-120.0,,,In time,,,,,,,,,,
538882,369219,mobile,ended,85.0,,,Late,,,,,,,,,,
539071,388231,mobile,ended,-35.0,,,In time,,,,,,,,,,
539196,347612,mobile,ended,66.0,,,Late,,,,,,,,,,
539241,394966,mobile,ended,,,,Unknown,,,,,,,,,,
539262,359046,mobile,ended,32.0,,,Late,,,,,,,,,,
539369,390467,connect,ended,41.0,,,Late,,,,,,,,,,
539396,388032,mobile,ended,3.0,,,Late,,,,,,,,,,
539451,355444,connect,ended,-536.0,,,In time,,,,,,,,,,
539558,370997,connect,canceled,,,,Unknown,,,,,,,,,,
539688,369483,mobile,ended,216.0,,,Late,,,,,,,,,,
